Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,041034,1924,08,46.2,Y
IDCJAC0001,041034,1924,09,71.8,Y
IDCJAC0001,041034,1924,10,97.1,Y
IDCJAC0001,041034,1924,11,116.7,Y
IDCJAC0001,041034,1924,12,36.8,Y
IDCJAC0001,041034,1925,01,122.5,Y
IDCJAC0001,041034,1925,02,76.2,Y
IDCJAC0001,041034,1925,03,67.6,Y
IDCJAC0001,041034,1925,04,0.0,Y
IDCJAC0001,041034,1925,05,48.0,Y
IDCJAC0001,041034,1925,06,3.0,Y
IDCJAC0001,041034,1925,07,39.7,Y
IDCJAC0001,041034,1925,08,132.2,Y
IDCJAC0001,041034,1925,09,11.2,Y
IDCJAC0001,041034,1925,10,13.9,Y
IDCJAC0001,041034,1925,11,135.7,Y
IDCJAC0001,041034,1925,12,82.1,Y
IDCJAC0001,041034,1926,01,73.9,Y
IDCJAC0001,041034,1926,02,34.3,Y
IDCJAC0001,041034,1926,03,32.7,Y
IDCJAC0001,041034,1926,04,22.2,Y
IDCJAC0001,041034,1926,05,31.7,Y
IDCJAC0001,041034,1926,06,33.5,Y
IDCJAC0001,041034,1926,07,40.7,Y
IDCJAC0001,041034,1926,08,26.9,Y
IDCJAC0001,041034,1926,09,20.1,Y
IDCJAC0001,041034,1926,10,16.0,Y
IDCJAC0001,041034,1926,11,15.2,Y
IDCJAC0001,041034,1926,12,218.7,Y
IDCJAC0001,041034,1927,01,164.1,Y
IDCJAC0001,041034,1927,02,69.9,Y
IDCJAC0001,041034,1927,03,86.3,Y
IDCJAC0001,041034,1927,04,62.5,Y
IDCJAC0001,041034,1927,05,5.1,Y
IDCJAC0001,041034,1927,06,63.6,Y
IDCJAC0001,041034,1927,07,6.4,Y
IDCJAC0001,041034,1927,08,13.0,Y
IDCJAC0001,041034,1927,09,10.1,Y
IDCJAC0001,041034,1927,10,76.0,Y
IDCJAC0001,041034,1927,11,89.9,Y
IDCJAC0001,041034,1927,12,60.5,Y
IDCJAC0001,041034,1928,01,39.3,Y
IDCJAC0001,041034,1928,02,120.4,Y
IDCJAC0001,041034,1928,03,35.5,Y
IDCJAC0001,041034,1928,04,55.8,Y
IDCJAC0001,041034,1928,05,21.6,Y
IDCJAC0001,041034,1928,06,73.4,Y
IDCJAC0001,041034,1928,07,53.8,Y
