Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,041100,2006,04,12.1,Y
IDCJAC0004,041100,2006,05,5.1,Y
IDCJAC0004,041100,2006,06,4.5,Y
IDCJAC0004,041100,2006,07,4.8,Y
IDCJAC0004,041100,2006,08,4.2,Y
IDCJAC0004,041100,2006,09,10.0,Y
IDCJAC0004,041100,2006,10,13.3,Y
IDCJAC0004,041100,2006,11,15.7,Y
IDCJAC0004,041100,2006,12,16.8,Y
IDCJAC0004,041100,2007,01,19.7,Y
IDCJAC0004,041100,2007,02,18.7,Y
IDCJAC0004,041100,2007,03,17.6,Y
IDCJAC0004,041100,2007,04,13.4,Y
IDCJAC0004,041100,2007,05,10.2,Y
IDCJAC0004,041100,2007,06,5.7,Y
IDCJAC0004,041100,2007,07,2.1,Y
IDCJAC0004,041100,2007,08,7.3,Y
IDCJAC0004,041100,2007,09,8.4,Y
IDCJAC0004,041100,2007,10,13.7,Y
IDCJAC0004,041100,2007,11,16.1,Y
IDCJAC0004,041100,2007,12,18.3,Y
IDCJAC0004,041100,2008,01,19.1,Y
IDCJAC0004,041100,2008,02,17.6,Y
IDCJAC0004,041100,2008,03,13.7,Y
IDCJAC0004,041100,2008,04,9.9,Y
IDCJAC0004,041100,2008,05,6.9,Y
IDCJAC0004,041100,2008,06,7.5,Y
IDCJAC0004,041100,2008,07,4.7,Y
IDCJAC0004,041100,2008,08,2.8,Y
IDCJAC0004,041100,2008,09,10.6,Y
IDCJAC0004,041100,2008,10,12.8,Y
IDCJAC0004,041100,2008,11,16.8,Y
IDCJAC0004,041100,2008,12,18.1,Y
IDCJAC0004,041100,2009,01,19.3,Y
IDCJAC0004,041100,2009,02,18.9,Y
IDCJAC0004,041100,2009,03,16.1,Y
IDCJAC0004,041100,2009,04,13.6,Y
IDCJAC0004,041100,2009,05,8.7,Y
IDCJAC0004,041100,2009,06,6.7,Y
IDCJAC0004,041100,2009,07,4.1,Y
IDCJAC0004,041100,2009,08,6.9,Y
IDCJAC0004,041100,2009,09,8.9,Y
IDCJAC0004,041100,2009,10,12.1,Y
