Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,041100,2001,08,20.3,Y
IDCJAC0002,041100,2001,09,24.6,Y
IDCJAC0002,041100,2001,10,27.0,Y
IDCJAC0002,041100,2001,11,28.5,Y
IDCJAC0002,041100,2001,12,33.8,Y
IDCJAC0002,041100,2002,01,35.4,Y
IDCJAC0002,041100,2002,02,33.7,Y
IDCJAC0002,041100,2002,03,32.4,Y
IDCJAC0002,041100,2002,04,27.6,Y
IDCJAC0002,041100,2002,05,22.9,Y
IDCJAC0002,041100,2002,06,20.3,Y
IDCJAC0002,041100,2002,07,20.3,Y
IDCJAC0002,041100,2002,08,22.4,Y
IDCJAC0002,041100,2002,09,26.7,Y
IDCJAC0002,041100,2002,10,31.0,Y
IDCJAC0002,041100,2002,11,33.3,Y
IDCJAC0002,041100,2002,12,33.3,Y
IDCJAC0002,041100,2003,01,36.0,Y
IDCJAC0002,041100,2003,02,31.9,Y
IDCJAC0002,041100,2003,03,29.6,Y
IDCJAC0002,041100,2003,04,26.0,Y
IDCJAC0002,041100,2003,05,23.7,Y
IDCJAC0002,041100,2003,06,20.0,Y
IDCJAC0002,041100,2003,07,18.8,Y
IDCJAC0002,041100,2003,08,21.4,Y
IDCJAC0002,041100,2003,09,27.5,Y
IDCJAC0002,041100,2003,10,25.9,Y
IDCJAC0002,041100,2003,11,30.6,Y
IDCJAC0002,041100,2003,12,33.2,Y
IDCJAC0002,041100,2004,01,34.0,Y
IDCJAC0002,041100,2004,02,35.4,Y
IDCJAC0002,041100,2004,03,31.8,Y
IDCJAC0002,041100,2004,04,28.9,Y
IDCJAC0002,041100,2004,05,23.0,Y
IDCJAC0002,041100,2004,06,20.2,Y
IDCJAC0002,041100,2004,07,20.1,Y
IDCJAC0002,041100,2004,08,21.5,Y
IDCJAC0002,041100,2004,09,24.6,Y
IDCJAC0002,041100,2004,10,28.8,Y
IDCJAC0002,041100,2004,11,30.3,Y
IDCJAC0002,041100,2004,12,31.0,Y
IDCJAC0002,041100,2005,01,33.9,Y
IDCJAC0002,041100,2005,02,35.2,Y
IDCJAC0002,041100,2005,03,32.0,Y
IDCJAC0002,041100,2005,04,30.2,Y
IDCJAC0002,041100,2005,05,24.0,Y
IDCJAC0002,041100,2005,06,20.2,Y
IDCJAC0002,041100,2005,07,19.4,Y
IDCJAC0002,041100,2005,08,21.0,Y
IDCJAC0002,041100,2005,09,25.7,Y
IDCJAC0002,041100,2005,10,30.5,Y
IDCJAC0002,041100,2005,11,30.7,Y
IDCJAC0002,041100,2005,12,35.3,Y
IDCJAC0002,041100,2006,01,34.3,Y
IDCJAC0002,041100,2006,02,33.8,Y
IDCJAC0002,041100,2006,03,31.4,Y
IDCJAC0002,041100,2006,04,27.6,Y
IDCJAC0002,041100,2006,05,22.8,Y
IDCJAC0002,041100,2006,06,19.9,Y
IDCJAC0002,041100,2006,07,19.4,Y
IDCJAC0002,041100,2006,08,22.4,Y
IDCJAC0002,041100,2006,09,25.7,Y
IDCJAC0002,041100,2006,10,30.1,Y
IDCJAC0002,041100,2006,11,31.8,Y
IDCJAC0002,041100,2006,12,32.3,Y
IDCJAC0002,041100,2007,01,34.8,Y
IDCJAC0002,041100,2007,02,33.4,Y
IDCJAC0002,041100,2007,03,32.7,Y
IDCJAC0002,041100,2007,04,28.6,Y
IDCJAC0002,041100,2007,05,24.8,Y
IDCJAC0002,041100,2007,06,16.5,Y
IDCJAC0002,041100,2007,07,17.3,Y
IDCJAC0002,041100,2007,08,21.7,Y
IDCJAC0002,041100,2007,09,25.5,Y
IDCJAC0002,041100,2007,10,30.5,Y
IDCJAC0002,041100,2007,11,28.4,Y
IDCJAC0002,041100,2007,12,30.0,Y
IDCJAC0002,041100,2008,01,32.2,Y
IDCJAC0002,041100,2008,02,30.1,Y
IDCJAC0002,041100,2008,03,30.5,Y
IDCJAC0002,041100,2008,04,26.5,Y
IDCJAC0002,041100,2008,05,23.7,Y
IDCJAC0002,041100,2008,06,21.0,Y
IDCJAC0002,041100,2008,07,18.6,Y
IDCJAC0002,041100,2008,08,19.4,Y
IDCJAC0002,041100,2008,09,25.1,Y
IDCJAC0002,041100,2008,10,29.1,Y
IDCJAC0002,041100,2008,11,29.3,Y
IDCJAC0002,041100,2008,12,31.8,Y
IDCJAC0002,041100,2009,01,34.3,Y
IDCJAC0002,041100,2009,02,33.4,Y
IDCJAC0002,041100,2009,03,32.1,Y
IDCJAC0002,041100,2009,04,27.6,Y
IDCJAC0002,041100,2009,05,22.8,Y
IDCJAC0002,041100,2009,06,19.0,Y
IDCJAC0002,041100,2009,07,18.5,Y
IDCJAC0002,041100,2009,08,24.2,Y
IDCJAC0002,041100,2009,09,25.9,Y
IDCJAC0002,041100,2009,10,28.9,Y
IDCJAC0002,041100,2009,11,33.8,Y
IDCJAC0002,041100,2009,12,33.6,Y
IDCJAC0002,041100,2010,01,33.8,Y
IDCJAC0002,041100,2010,02,32.5,Y
IDCJAC0002,041100,2010,03,29.4,Y
IDCJAC0002,041100,2010,04,27.9,Y
IDCJAC0002,041100,2010,05,22.4,Y
IDCJAC0002,041100,2010,06,18.7,Y
IDCJAC0002,041100,2010,07,18.5,Y
IDCJAC0002,041100,2010,08,18.1,Y
IDCJAC0002,041100,2010,09,22.3,Y
IDCJAC0002,041100,2010,10,25.1,Y
IDCJAC0002,041100,2010,11,27.3,Y
IDCJAC0002,041100,2010,12,28.6,Y
IDCJAC0002,041100,2011,01,31.9,Y
IDCJAC0002,041100,2011,02,33.9,Y
IDCJAC0002,041100,2011,03,29.3,Y
IDCJAC0002,041100,2011,04,26.4,Y
IDCJAC0002,041100,2011,05,20.8,Y
IDCJAC0002,041100,2011,06,18.4,Y
IDCJAC0002,041100,2011,07,18.2,Y
IDCJAC0002,041100,2011,08,21.3,Y
IDCJAC0002,041100,2011,09,24.5,Y
IDCJAC0002,041100,2011,10,25.8,Y
IDCJAC0002,041100,2011,11,31.5,Y
IDCJAC0002,041100,2011,12,28.9,Y
IDCJAC0002,041100,2012,01,31.4,Y
IDCJAC0002,041100,2012,02,31.4,Y
IDCJAC0002,041100,2012,03,30.7,Y
IDCJAC0002,041100,2012,04,27.0,Y
IDCJAC0002,041100,2012,05,22.1,Y
IDCJAC0002,041100,2012,06,18.7,Y
IDCJAC0002,041100,2012,07,18.5,Y
IDCJAC0002,041100,2012,08,20.9,Y
IDCJAC0002,041100,2012,09,25.5,Y
IDCJAC0002,041100,2012,10,28.6,Y
IDCJAC0002,041100,2012,11,32.3,Y
IDCJAC0002,041100,2012,12,33.6,Y
IDCJAC0002,041100,2013,01,34.6,Y
IDCJAC0002,041100,2013,02,29.7,Y
IDCJAC0002,041100,2013,03,29.3,Y
IDCJAC0002,041100,2013,04,26.5,Y
IDCJAC0002,041100,2013,05,22.4,Y
IDCJAC0002,041100,2013,06,18.5,Y
IDCJAC0002,041100,2013,07,20.5,Y
IDCJAC0002,041100,2013,08,22.1,Y
IDCJAC0002,041100,2013,09,28.6,Y
IDCJAC0002,041100,2013,10,29.8,Y
IDCJAC0002,041100,2013,11,31.6,Y
IDCJAC0002,041100,2013,12,34.4,Y
IDCJAC0002,041100,2014,01,35.7,Y
IDCJAC0002,041100,2014,02,34.0,Y
IDCJAC0002,041100,2014,03,30.8,Y
IDCJAC0002,041100,2014,04,27.9,Y
IDCJAC0002,041100,2014,05,23.4,Y
IDCJAC0002,041100,2014,06,20.0,Y
IDCJAC0002,041100,2014,07,19.0,Y
IDCJAC0002,041100,2014,08,21.0,Y
IDCJAC0002,041100,2014,09,25.1,Y
IDCJAC0002,041100,2014,10,31.0,Y
IDCJAC0002,041100,2014,11,34.7,Y
IDCJAC0002,041100,2014,12,33.1,Y
IDCJAC0002,041100,2015,01,32.7,Y
IDCJAC0002,041100,2015,02,31.9,Y
IDCJAC0002,041100,2015,03,32.4,Y
IDCJAC0002,041100,2015,04,24.5,Y
IDCJAC0002,041100,2015,05,21.8,Y
IDCJAC0002,041100,2015,06,20.1,Y
IDCJAC0002,041100,2015,07,17.5,Y
IDCJAC0002,041100,2015,08,20.4,Y
IDCJAC0002,041100,2015,09,24.1,Y
IDCJAC0002,041100,2015,10,30.9,Y
IDCJAC0002,041100,2015,11,33.0,Y
IDCJAC0002,041100,2015,12,32.4,Y
IDCJAC0002,041100,2016,01,32.4,Y
IDCJAC0002,041100,2016,02,34.8,Y
IDCJAC0002,041100,2016,03,32.7,Y
IDCJAC0002,041100,2016,04,29.4,Y
IDCJAC0002,041100,2016,05,24.7,Y
IDCJAC0002,041100,2016,06,18.5,Y
IDCJAC0002,041100,2016,07,18.7,Y
IDCJAC0002,041100,2016,08,20.2,Y
IDCJAC0002,041100,2016,09,21.8,Y
IDCJAC0002,041100,2016,10,25.8,Y
IDCJAC0002,041100,2016,11,31.9,Y
IDCJAC0002,041100,2016,12,35.1,Y
IDCJAC0002,041100,2017,01,36.0,Y
IDCJAC0002,041100,2017,02,36.2,Y
IDCJAC0002,041100,2017,03,30.5,Y
IDCJAC0002,041100,2017,04,25.4,Y
IDCJAC0002,041100,2017,05,23.1,Y
IDCJAC0002,041100,2017,06,20.9,Y
IDCJAC0002,041100,2017,07,20.4,Y
IDCJAC0002,041100,2017,08,22.2,Y
IDCJAC0002,041100,2017,09,27.3,Y
IDCJAC0002,041100,2017,10,27.7,Y
IDCJAC0002,041100,2017,11,29.7,Y
IDCJAC0002,041100,2017,12,34.0,Y
IDCJAC0002,041100,2018,01,36.2,Y
IDCJAC0002,041100,2018,02,33.5,Y
IDCJAC0002,041100,2018,03,32.3,Y
IDCJAC0002,041100,2018,04,29.7,Y
IDCJAC0002,041100,2018,05,23.8,Y
IDCJAC0002,041100,2018,06,20.5,Y
IDCJAC0002,041100,2018,07,20.4,Y
IDCJAC0002,041100,2018,08,21.3,Y
IDCJAC0002,041100,2018,09,25.4,Y
